"rrg"	"ticker"	"window_lm"	"marginabile"	"name"	"min_date_window"	"estimate"	"p.value"	"adj.r.squared"
1	"AVIO.MI"	15	NA	"AVIO"	2025-05-09	0.157535714285715	5.4816310941006e-05	0.705151433478154
1	"DAN.MI"	15	"si"	"DANIELI & C"	2025-05-09	0.176607142857143	5.74048687801121e-05	0.703100942930783
1	"HI.MI"	15	NA	"HEALTH ITALIA"	2025-05-09	15.1642857142857	6.5980009276302e-05	0.696829963694562
1	"ENEL.MI"	15	"si"	"ENEL"	2025-05-09	0.0298214285714287	9.87080060615537e-05	0.677956614379877
1	"CML.MI"	15	NA	"COMAL"	2025-02-26	0.0218928571428572	0.000214264874530556	0.638413185507819
1	"TXT.MI"	15	NA	"TXT E-SOLUTIONS"	2025-05-09	0.205357142857143	0.000309725629780691	0.618022518514367
1	"CRL.MI"	15	NA	"CAREL INDUSTRIES"	2025-05-09	0.1255	0.000394385031136981	0.604061740466912
1	"NWL.MI"	15	NA	"NEWLAT FOOD"	2025-05-09	0.139214285714286	0.000427034659597425	0.599361625105338
1	"CMB.MI"	15	NA	"CEMBRE"	2025-05-09	0.305714285714286	0.000961630522249687	0.548291091285146
1	"B.MI"	15	NA	"BASTOGI SPA"	2025-05-09	0.00160714285714286	0.00134848630770019	0.525277557494053
1	"GE.MI"	15	NA	"GEFRAN"	2025-05-09	0.0627857142857145	0.00145717047060216	0.519850992047551
1	"WBD.MI"	15	"si"	"WEBUILD"	2025-05-09	0.0124999999999999	0.00158741320151966	0.513791374122369
1	"ASC.MI"	15	NA	"ASCOPIAVE"	2025-05-09	0.0115357142857144	0.00184027399338757	0.503163735840111
1	"BDB.MI"	15	NA	"BCO DESIO BRIANZA"	2025-05-09	0.0573928571428572	0.00386722950975906	0.446508401553617
1	"ILTY.MI"	15	NA	"ILLIMITY BANK"	2025-05-09	0.00942857142857136	0.0081572568522292	0.383874892011496
1	"ARBS.MI"	15	NA	"ARTERRA BIOSCIENCE"	2025-05-09	0.00507142857142866	0.0174579024708299	0.313973325062039
1	"PHIL.MI"	15	NA	"PHILOGEN"	2025-05-09	0.0417857142857148	0.031025743692799	0.257150527137833
1	"COP.MI"	15	NA	"COPERNICO"	2025-05-08	0.00964285714285725	0.0377791079548521	0.23694029850746
1	"S24.MI"	15	NA	"IL SOLE 24 ORE"	2025-05-09	0.000607142857142902	0.039683300431219	0.231837606837608
1	"A2A.MI"	15	"si"	"A2A"	2025-05-09	0.00375000000000003	0.0498948545405064	0.207793884718684
1	"OVS.MI"	30	"si"	"OVS"	2025-04-15	0.0249810901001112	1.18170433954879e-19	0.947339194068719
1	"SOL.MI"	30	NA	"SOL"	2025-04-15	0.332135706340378	1.57619313635139e-18	0.936657640825586
1	"CRL.MI"	30	NA	"CAREL INDUSTRIES"	2025-04-15	0.178075639599555	3.20583368297673e-18	0.933370111500361
1	"DAN.MI"	30	"si"	"DANIELI & C"	2025-04-15	0.27880978865406	1.51627445337914e-17	0.925568766203267
1	"TXT.MI"	30	NA	"TXT E-SOLUTIONS"	2025-04-15	0.248298109010011	6.32347107614579e-17	0.917598770579863
1	"AV.MI"	30	NA	"ANTARES VISION"	2025-04-15	0.0478042269187987	6.96124280190426e-17	0.917032893639035
1	"MOL.MI"	30	NA	"MUTUIONLINE"	2025-04-15	0.340700778642937	1.04802875256698e-16	0.914579776090065
1	"MAIRE.MI"	30	"si"	"MAIRE"	2025-04-15	0.117234705228031	1.23114840079821e-16	0.913594520525949
1	"PST.MI"	30	"si"	"POSTE ITALIANE"	2025-04-15	0.0781890989988878	1.60854123360105e-16	0.911933550791323
1	"ENEL.MI"	30	"si"	"ENEL"	2025-04-15	0.0285984427141268	2.82771002793845e-16	0.908323981366463
1	"CMB.MI"	30	NA	"CEMBRE"	2025-04-15	0.346173526140156	4.0478609770286e-16	0.905952457016875
1	"WBD.MI"	30	"si"	"WEBUILD"	2025-04-15	0.0248943270300334	4.56714715954184e-16	0.905140836618222
1	"ILTY.MI"	30	NA	"ILLIMITY BANK"	2025-04-15	0.0171056729699666	5.9823979823024e-16	0.90330039304083
1	"IEG.MI"	30	NA	"ITALIAN EXHIBITION GROUP"	2025-04-15	0.0944160177975528	3.83191429304594e-15	0.889636884408541
1	"GE.MI"	30	NA	"GEFRAN"	2025-04-15	0.0759265850945495	1.27157954420569e-14	0.879806876850221
1	"FBK.MI"	30	NA	"FINECOBANK"	2025-04-15	0.0796062291434926	2.00305372566368e-13	0.853785385717241
1	"UCG.MI"	30	"si"	"UNICREDIT"	2025-04-15	0.310827586206897	2.06467186526481e-13	0.853470322779764
1	"PHIL.MI"	30	NA	"PHILOGEN"	2025-04-15	0.0724360400444939	6.12206928299093e-13	0.841710366015149
1	"MB.MI"	30	"si"	"MEDIOBANCA"	2025-04-15	0.200293659621802	3.60407915215348e-12	0.82048751516412
1	"ACE.MI"	30	"si"	"ACEA"	2025-04-15	0.081519466073415	1.12790676938077e-11	0.805360362088887
1	"FCT.MI"	30	"si"	"FINCANTIERI"	2025-04-15	0.190135706340378	1.47219474204653e-11	0.801650147510847
1	"UNI.MI"	30	"si"	"UNIPOL"	2025-04-15	0.0959688542825363	1.83048658718568e-11	0.798564311711643
1	"BMED.MI"	30	"si"	"BANCA MEDIOLANUM"	2025-04-15	0.0808743047830925	6.30767385957224e-11	0.780114663442287
1	"NWL.MI"	30	NA	"NEWLAT FOOD"	2025-04-15	0.0936907675194662	2.41152754272368e-10	0.758225357051054
1	"NVP.MI"	30	NA	"NVP"	2025-01-29	0.00995328142380417	8.3250830762716e-10	0.736096815939448
1	"LDO.MI"	30	"si"	"LEONARDO"	2025-04-15	0.328674082313683	1.35808564339634e-09	0.726816561179642
1	"BPE.MI"	30	"si"	"BPER BANCA"	2025-04-15	0.0418442714126808	1.43159363438867e-09	0.725798009462286
1	"BPSO.MI"	30	NA	"BCA POP SONDRIO"	2025-04-15	0.0573437152391547	1.99184505923401e-09	0.71933055189242
1	"EQUI.MI"	30	NA	"EQUITA GROUP"	2025-04-15	0.0122291434927698	2.98311639105209e-09	0.711216912393947
1	"CML.MI"	30	NA	"COMAL"	2025-02-05	0.0125494994438265	3.10293107724493e-09	0.710413647313452
1	"IRE.MI"	30	"si"	"IREN"	2025-04-15	0.00978420467185762	4.052544860547e-09	0.704909071638708
1	"CAI.MI"	30	NA	"CAIRO COMMUNICATION"	2025-04-15	0.0232680756395995	7.16846004827134e-09	0.692803969813492
1	"MNL.MI"	30	NA	"MONNALISA"	2025-04-15	0.00916129032258066	7.36438922233164e-09	0.692219744857649
1	"HER.MI"	30	"si"	"HERA"	2025-04-15	0.0105695216907676	8.00919306383544e-09	0.690394260753206
1	"A2A.MI"	30	"si"	"A2A"	2025-04-15	0.00545939933259178	1.1151124037697e-08	0.683092351147105
1	"BST.MI"	30	NA	"BANCA SISTEMA"	2025-04-15	0.00840711902113461	1.67775755527312e-08	0.673846321403281
1	"FM.MI"	30	NA	"FIERA MILANO"	2025-04-15	0.0253526140155729	2.51362309287604e-08	0.664436326122399
1	"LUVE.MI"	30	NA	"LUVE"	2025-04-15	0.134393770856507	4.39895564949087e-08	0.650970349907272
1	"ISP.MI"	30	"si"	"INTESA SANPAOLO"	2025-04-15	0.0169299221357064	4.90242601597299e-08	0.648302622391002
1	"S24.MI"	30	NA	"IL SOLE 24 ORE"	2025-04-15	0.000573971078976649	2.72413063754121e-07	0.60334101382488
1	"MAPS.MI"	30	NA	"MAPS"	2025-04-15	0.0123915461624027	1.01049739584711e-06	0.565263817291426
1	"GTH.MI"	30	NA	"GREENTHESIS"	2024-08-09	0.000629588431590694	1.02838185368001e-06	0.564731049511699
1	"SPM.MI"	30	"si"	"SAIPEM"	2025-04-15	0.011083426028921	3.74176053956861e-06	0.523740310426981
1	"COP.MI"	30	NA	"COPERNICO"	2025-04-14	0.0109566184649611	4.26606025230673e-06	0.519377952653794
1	"AVIO.MI"	30	NA	"AVIO"	2025-04-15	0.0717931034482759	1.08047181196398e-05	0.487358508659006
1	"HI.MI"	30	NA	"HEALTH ITALIA"	2025-04-15	5.1853170189099	1.32216318674252e-05	0.480141068454913
1	"RCS.MI"	30	NA	"RCS MEDIAGROUP"	2025-04-15	0.00436484983314794	4.26592016496383e-05	0.436345391901279
1	"BAMI.MI"	30	"si"	"BANCO BPM"	2025-04-15	0.023452725250278	4.97579791673265e-05	0.430341741260877
1	"CE.MI"	30	NA	"CREDEM"	2025-04-15	0.0311101223581759	5.28164269728897e-05	0.427999318582438
1	"SHE.MI"	30	NA	"SHEDIR PHARMA GROUP"	2024-12-04	0.00107230255839829	0.000106645151026151	0.399732099123346
1	"CALT.MI"	30	NA	"CALTAGIRONE"	2025-04-15	0.0188654060066741	0.000129414358098379	0.39172691163844
1	"TYA.MI"	30	NA	"TOSCANA AEROPORTI"	2025-04-15	0.0317686318131258	0.000226453140193113	0.368036342593571
