"ticker"	"name"	"rrg"	"data"	"close"	"factor"	"atr_low"	"atr_high"	"DC_low"	"DC_high"	"sd_low"	"sd_high"	"stop_loss"	"hi1"	"hi2"	"hi3"	"hi4"	"lo1"	"lo2"	"lo3"	"lo4"	"flr"	"clg"
"ILP.MI"	"ILPRA"	-1	2026-03-31	5.45	1	5.37117610287368	5.52882389712632	5.6	5.2	5.38287701954253	5.51712298045747	5.6	5.6	5.45	6.1	6	5.3	5.2	5.2	4.66	3.66	6.35
"IMS.MI"	"IMMSI"	-1	2026-03-31	0.47	1	0.452964724472918	0.487035275527082	0.49	0.45	0.45510107312663	0.48489892687337	0.53	0.49	0.59	0.71	0.65	0.45	0.53	0.45	0.34	0.34	0.65
"INC.MI"	"INNOVATEC"	-1	2026-03-31	0.19	1	0.181517473775571	0.198482526224429	0.2	0.18	0.181982162742627	0.198017837257373	0.22	0.2	0.25	0.33	0.65	0.18	0.21	0.18	0.34	0.08	2.53
"INDB.MI"	"INDEL B"	-1	2026-03-31	18.65	1	18.3695118016625	18.9304881983375	19.1	18.45	18.3647152954725	18.9352847045275	19.8	18.95	19.9	20.8	24.4	18.45	18.4	18.3	18.25	22	24.4
"INW.MI"	"INWIT"	-1	2026-03-31	6.86	1	6.47510182191504	7.24489817808496	8.22	6.07	6.18734902017514	7.53265097982486	8.72	6.91	9.09	10.64	10.8	6.21	6.14	6.07	8.85	8.81	12.64
"IOT.MI"	"SECO"	-1	2026-03-31	2.44	1	2.31536628798189	2.56463371201811	2.67	2.23	2.30697723899627	2.57302276100373	2.82	2.65	2.82	3.36	10.8	2.27	2.36	2.23	1.51	1.46	9.94
"IP.MI"	"INTERPUMP GROUP"	-1	2026-03-31	32.4	1	31.1443230616424	33.6556769383576	34.06	30.1	31.6158212807425	33.1841787192575	37	33.56	51.3	41.72	47.12	30.92	45.9	30.1	25.48	35.14	47.38
"IRC.MI"	"IRCE"	-1	2026-03-31	2.01	1	1.94653914565117	2.07346085434883	2.05	1.8	1.97287088166181	2.04712911833819	2.15	1.97	2.2	2.21	2.32	1.93	1.89	1.8	1.77	1.77	2.32
"IRE.MI"	"IREN"	-1	2026-03-31	2.44	1	2.36197401651732	2.51802598348268	2.66	2.25	2.35874270954095	2.52125729045905	2.71	2.46	2.68	2.86	2.13	2.39	2.25	2.25	1.28	1.71	2.13
"ISC.MI"	"ISCC FINTECH"	-1	2026-03-31	0.83	1	0.777206811657975	0.882793188342025	0.95	0.76	0.778708975144093	0.881291024855907	0.98	0.84	0.97	1.8	4	0.76	0.82	0.76	2.96	1.71	7
"ITD.MI"	"INTRED"	-1	2026-03-31	9.1	1	8.83890846152041	9.36109153847959	9.14	8.48	8.91898940593204	9.28101059406796	9.42	9.14	9.58	10.95	13.65	8.78	8.32	8.32	9.1	9.02	13.65
"ITM.MI"	"ITALMOBILIARE"	-1	2026-03-31	26.35	1	25.6085267972741	27.0914732027259	26.85	24.55	25.7313231950275	26.9686768049725	27.5	26.8	26.25	33.9	35.3	26	24.7	24.35	20.45	20.45	35.35
"ITW.MI"	"IT WAY"	-1	2026-03-31	1.13	1	1.0791768790037	1.1808231209963	1.22	0.97	1.08389333913821	1.17610666086179	1.22	1.12	1.27	1.62	2.34	0.97	1.28	0.97	0.78	0.78	2.37
"IWB.MI"	"ITALIAN WINE BRANDS"	-1	2026-03-31	18.6	1	18.0752145681345	19.1247854318655	20	18.3	18.3385585183035	18.8614414816965	20.7	19.1	21.1	23.8	24.4	18.3	20.5	18.15	18.15	16.6	49.3
"JUVE.MI"	"JUVENTUS FC"	-1	2026-03-31	2.01	1	1.9426459905913	2.0773540094087	2.19	1.96	1.93095000886211	2.08904999113789	2.28	2.06	2.71	2.98	3.55	1.96	2.61	1.96	1.67	1.67	3.56
"KME.MI"	"KME GROUP"	-1	2026-03-31	0.87	1	0.846155700839657	0.893844299160343	0.93	0.8	0.844743078415767	0.895256921584233	0.93	0.9	0.91	0.92	0.94	0.81	0.86	0.8	0.82	0.82	0.94
"LFG.MI"	"LEONE FILM GROUP"	-1	2026-03-31	1.42	1	1.37677789337269	1.46322210662731	1.51	1.34	1.37762542748765	1.46237457251235	1.53	1.41	1.53	1.53	3.7	1.35	1.34	1.26	1.94	1.94	3.7
"LLY.DE"	NA	-1	2026-03-31	791.1	1	770.606448924753	811.593551075247	810	767.3	760.782637441105	821.417362558895	873.8	795.2	873.8	971.1	888.3	767.3	836.8	536	657.5	110.88	888.3
"LNDR.MI"	"LANDI RENZO"	-1	2026-03-31	0.83	1	0.790823326251624	0.869176673748376	0.86	0.78	0.807261641065526	0.852738358934474	0.89	0.86	1.06	1.2	11.8	0.8	0.8	0.78	3.97	3.97	6.54
"LON.MI"	"LONGINO&CARDENAL"	-1	2026-03-31	0.8	1	0.792387958138366	0.807612041861634	0.8	0.75	0.785230711996448	0.814769288003552	0.8	0.76	1.03	1.7	11.8	0.75	0.77	0.75	3.97	2.02	4.98
"MAPS.MI"	"MAPS"	-1	2026-03-31	2.46	1	2.3874425391058	2.5325574608942	2.52	2.36	2.41257741994681	2.50742258005319	2.58	2.52	3.14	3.8	3.65	2.43	2.23	2.23	2.24	2.24	3.69
"MARP.MI"	"MARZOCCHI POMPE"	-1	2026-03-31	2.16	1	2.1112564157075	2.2087435842925	2.22	2.04	2.10712652464984	2.21287347535016	2.32	2.12	2.3	2.54	4.68	2.04	2.18	2.04	3.52	3.52	4.16
"MARR.MI"	"MARR"	-1	2026-03-31	7.54	1	7.21720374249253	7.86279625750747	7.66	6.37	6.9869564729091	8.0930435270909	8.81	6.94	9.69	10.56	15.52	6.47	9.16	6.37	9.32	9.32	15.52
"MASI.MI"	"MASI AGRICOLA"	-1	2026-03-31	4.15	1	4.04047488806093	4.25952511193907	4.31	4.06	4.07687133121817	4.22312866878183	4.49	4.21	4.7	4.7	5.68	4.06	4.18	4.01	3.69	3.74	4.66
"MB.MI"	"MEDIOBANCA"	-1	2026-03-31	16.57	1	15.925066881395	17.214933118605	17.05	15.19	16.120360339632	17.019639660368	17.05	17.05	19.89	22.34	10.88	16.3	14.98	14.98	7.17	4.05	10.98
"MET.MI"	"MET.EXTRA GROUP"	-1	2026-03-31	1.92	1	1.84463211545133	1.99536788454867	2.02	1.76	1.83893226275529	2.00106773724471	2.02	2	2.02	2.08	2.3	1.9	1.83	1.52	1.32	2.76	4.69
"MEV.MI"	"MEVIM"	-1	2026-03-31	0.09	1	0.0851649598220863	0.0948350401779137	0.1	0.09	0.0848112547833723	0.0951887452166277	0.1	0.1	0.17	0.67	3.62	0.09	0.08	0.08	1.3	1.3	4.35
"MFEA.MI"	"MFE A"	-1	2026-03-31	2.58	1	2.47156021434737	2.68843978565263	2.67	2.35	2.50265391036117	2.65734608963883	3.03	2.67	3.09	3.19	3.87	2.53	2.32	2.32	2.52	2.52	3.87
"MFEB.MI"	NA	-1	2026-03-31	3.31	1	3.17848318586258	3.44151681413742	3.4	3.04	3.22993134813806	3.39006865186194	3.89	3.4	4.01	4.17	5.35	3.04	3.84	3.04	3.65	2.03	5.35
