"date"	"ticker"	"name"	"volume"
"2025-01-22 11:36:11"	"MARP.MI"	"MARZOCCHI POMPE"	9500
"2025-01-22 14:29:30"	"MEV.MI"	"MEVIM"	9296
"2025-01-22 16:35:12"	"DIB.MI"	"DIGITAL BROS"	9247
"2025-01-22 16:35:19"	"LNDR.MI"	"LANDI RENZO"	9190
"2025-01-22 13:40:45"	"RAD.MI"	"RADICI"	9000
"2025-01-22 16:35:17"	"GHC.MI"	"GAROFALO HEALTH CARE"	8751
"2025-01-22 16:12:09"	"PWS.MI"	"POWERSOFT"	8250
"2025-01-22 16:28:29"	"BEC.MI"	"B&C SPEAKERS"	8216
"2025-01-22 16:12:24"	"CDG.MI"	"CASTA DIVA GROUP"	8000
"2025-01-22 12:41:08"	"GAMB.MI"	"GAMBERO ROSSO"	8000
"2025-01-22 15:58:28"	"LON.MI"	"LONGINO&CARDENAL"	7500
"2025-01-22 16:35:21"	"NWL.MI"	"NEWLAT FOOD"	7118
"2025-01-22 16:35:07"	"ELC.MI"	"ELICA"	6866
"2025-01-22 16:35:29"	"MAPS.MI"	"MAPS"	6426
"2025-01-22 16:35:08"	"ORS.MI"	"ORSERO"	6416
"2025-01-22 14:02:24"	"ESIGM.MI"	"ESI"	6300
"2025-01-22 16:35:08"	"SOM.MI"	"SOMEC"	6249
"2025-01-22 16:35:02"	"FF.MI"	"FINE FOODS & PHARMACEUTICALS NTM"	6085
"2025-01-22 14:03:51"	"WBS.MI"	"WEBSOLUTE"	6050
"2025-01-22 16:35:15"	"ITD.MI"	"INTRED"	6026
"2025-01-22 15:26:02"	"AC5.MI"	"ACINQUE"	5735
"2025-01-22 16:35:14"	"IRC.MI"	"IRCE"	5613
"2025-01-22 16:35:23"	"PVN.MI"	"PIOVAN"	5369
"2025-01-22 16:26:13"	"NRST.MI"	"NEUROSOFT"	5000
"2025-01-22 15:42:26"	"INDB.MI"	"INDEL B"	4851
"2025-01-22 16:35:22"	"NPI.MI"	"NOTORIOUS PICTURES"	4800
"2025-01-22 16:35:04"	"TPS.MI"	"TPS"	4500
"2025-01-22 16:35:28"	"BO.MI"	"BORGOSESIA"	4281
"2025-01-22 16:21:23"	"ILP.MI"	"ILPRA"	4200
"2025-01-22 16:35:22"	"GE.MI"	"GEFRAN"	4148
"2025-01-22 09:58:20"	"POPR.MI"	"POLIGRAFICI PRINTING"	4000
"2025-01-22 15:25:04"	"EDAC.MI"	"EDILIZIACROBATICA"	3984
"2025-01-22 16:35:26"	"ADB.MI"	"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA"	3941
