"rrg"	"ticker"	"name"	"date"	"rclose"	"RSI"
0	"AMB.MI"	"AMBROMOBILIARE"	2025-09-12	0.48	57.1428571428571
0	"DBA.MI"	"DBA GROUP"	2025-09-12	2.1	57.1428571428571
0	"IDNTT.MI"	"IDNTT"	2025-09-12	1.45	57.1428571428571
0	"PLN.MI"	"PLANETEL"	2025-09-12	2.09	64.2857142857143
-1	"ABP.MI"	"A.B.P. NOCIVELLI"	2025-09-11	3.6	35.7142857142857
-1	"ILTY.MI"	"ILLIMITY BANK"	2025-09-11	1.95	50
-1	"ELN.MI"	"EL.EN"	2025-09-10	5.72	50
0	"FVI.MI"	"FERVI"	2025-09-10	8.18	42.8571428571429
0	"REY.MI"	"REPLY"	2025-09-10	56.84	42.8571428571429
0	"MET.MI"	"MET.EXTRA GROUP"	2025-09-04	0.76	64.2857142857143
0	"PQ.MI"	"PIQUADRO"	2025-09-04	1.19	57.1428571428571
1	"PQ.MI"	"PIQUADRO"	2025-09-03	1.2	57.1428571428571
-1	"ELES.MI"	"ELES"	2025-09-01	1.11	35.7142857142857
0	"IB.MI"	"INIZIATIVE BRESCIANE"	2025-09-01	6.45	64.2857142857143
0	"PWS.MI"	"POWERSOFT"	2025-09-01	8.71	50
-1	"DGV.MI"	"DIGITAL VALUE"	2025-08-28	15.18	50
-1	"AZM.MI"	"AZIMUT"	2025-08-27	15.3	35.7142857142857
-1	"CULT.MI"	"CULTI MILANO"	2025-08-26	6.36	42.8571428571429
-1	"OS.MI"	"OFFICINA STELLARE"	2025-08-26	6.91	35.7142857142857
-1	"ITW.MI"	"IT WAY"	2025-08-22	0.61	35.7142857142857
0	"ALA.MI"	"ALA"	2025-08-22	19.94	28.5714285714286
1	"SGF.MI"	"SOGEFI"	2025-08-22	1.31	42.8571428571429
-1	"AIW.MI"	"ALMAWAVE"	2025-08-21	1.73	35.7142857142857
-1	"ECK.MI"	"ECOSUNTEK"	2025-08-21	1	57.1428571428571
-1	"WIIT.MI"	"WIIT"	2025-08-21	8.48	42.8571428571429
0	"AIM.MI"	"4AIM SICAF"	2025-08-21	18.98	35.7142857142857
1	"ALA.MI"	"ALA"	2025-08-21	20.08	35.7142857142857
-1	"CY4.MI"	"CY4GATE"	2025-08-20	2.19	42.8571428571429
-1	"OLI.MI"	"OLIDATA"	2025-08-20	1.31	42.8571428571429
0	"ABT.MI"	"ABITARE IN"	2025-08-20	1.14	50
-1	"ILP.MI"	"ILPRA"	2025-08-19	2.42	28.5714285714286
-1	"OMER.MI"	"OMER"	2025-08-19	2.84	64.2857142857143
0	"GEL.MI"	"GEL"	2025-08-19	1	50
-1	"B.MI"	"BASTOGI SPA"	2025-08-18	0.3	57.1428571428571
0	"INDB.MI"	"INDEL B"	2025-08-18	9.43	35.7142857142857
0	"VNT.MI"	"VANTEA SMART"	2025-08-18	0.57	64.2857142857143
1	"RCS.MI"	"RCS MEDIAGROUP"	2025-08-18	0.49	71.4285714285714
-1	"RCS.MI"	"RCS MEDIAGROUP"	2025-08-14	0.49	71.4285714285714
0	"MONC.MI"	"MONCLER"	2025-08-14	22.46	21.4285714285714
0	"RAT.MI"	"RATTI"	2025-08-14	0.84	50
0	"TIT.MI"	"TELECOM ITALIA"	2025-08-14	0.22	85.7142857142857
-1	"DIB.MI"	"DIGITAL BROS"	2025-08-13	6.13	28.5714285714286
-1	"ERG.MI"	"ERG"	2025-08-13	9.28	28.5714285714286
0	"IMS.MI"	"IMMSI"	2025-08-13	0.25	85.7142857142857
1	"TYA.MI"	"TOSCANA AEROPORTI"	2025-08-13	8.01	35.7142857142857
-1	"ARN.MI"	"ALERION"	2025-08-11	8.91	21.4285714285714
-1	"PIA.MI"	"PIAGGIO"	2025-08-11	0.95	50
1	"COP.MI"	"COPERNICO"	2025-08-11	3.69	42.8571428571429
0	"NRST.MI"	"NEUROSOFT"	2025-08-08	0.32	57.1428571428571
0	"S24.MI"	"IL SOLE 24 ORE"	2025-08-06	0.56	78.5714285714286
1	"BGN.MI"	"BANCA GENERALI"	2025-08-06	25.76	64.2857142857143
1	"G.MI"	"GENERALI ASS"	2025-08-06	16.82	64.2857142857143
0	"BIA.MI"	"BIALETTI INDUSTRIE"	2025-08-05	0.24	85.7142857142857
0	"BZU.MI"	"BUZZI"	2025-08-05	20.67	28.5714285714286
0	"TWL.MI"	"TRAWELL CO"	2025-08-05	2.75	35.7142857142857
-1	"CMB.MI"	"CEMBRE"	2025-08-04	30.31	57.1428571428571
0	"ABP.MI"	"A.B.P. NOCIVELLI"	2025-08-04	3.6	64.2857142857143
1	"RWAY.MI"	"RAI WAY"	2025-08-04	3.04	35.7142857142857
-1	"PRY.MI"	"PRYSMIAN"	2025-08-01	35.82	71.4285714285714
1	"BDB.MI"	"BCO DESIO BRIANZA"	2025-07-31	3.8	57.1428571428571
1	"CE.MI"	"CREDEM"	2025-07-31	6.73	64.2857142857143
-1	"EXAI.MI"	"EXPERT.AI"	2025-07-30	0.76	71.4285714285714
-1	"SPN.MI"	"SPINDOX"	2025-07-30	6.66	42.8571428571429
-1	"ARBS.MI"	"ARTERRA BIOSCIENCE"	2025-07-29	1.32	64.2857142857143
-1	"JUVE.MI"	"JUVENTUS FC"	2025-07-29	1.4	42.8571428571429
-1	"ORS.MI"	"ORSERO"	2025-07-29	7	21.4285714285714
0	"SGF.MI"	"SOGEFI"	2025-07-29	1.32	71.4285714285714
1	"AUTME.MI"	"AUTOSTRADE MERID"	2025-07-29	1.34	64.2857142857143
-1	"WBS.MI"	"WEBSOLUTE"	2025-07-28	0.81	50
1	"S24.MI"	"IL SOLE 24 ORE"	2025-07-28	0.56	85.7142857142857
-1	"COM.MI"	"COMER INDUSTRIES"	2025-07-23	15.45	35.7142857142857
1	"ABC.MI"	"ABC COMPANY"	2025-07-22	1.91	57.1428571428571
1	"ANIM.MI"	"ANIMA HOLDING"	2025-07-22	3.1	50
0	"FOS.MI"	"FOS"	2025-07-18	2.04	57.1428571428571
-1	"ALK.MI"	"ALKEMY"	2025-07-11	6.71	42.8571428571429
-1	"ELC.MI"	"ELICA"	2025-07-11	0.72	64.2857142857143
0	"BMPS.MI"	"BANCA MONTE PASCHI SIENA"	2025-07-11	3.57	35.7142857142857
1	"BZU.MI"	"BUZZI"	2025-07-10	26.19	57.1428571428571
1	"CEM.MI"	"CEMENTIR HOLDING"	2025-07-10	7.99	71.4285714285714
1	"GVS.MI"	"GVS"	2025-07-10	2.56	71.4285714285714
0	"CAI.MI"	"CAIRO COMMUNICATION"	2025-07-04	1.46	35.7142857142857
1	"CAI.MI"	"CAIRO COMMUNICATION"	2025-07-03	1.46	35.7142857142857
-1	"GPI.MI"	"GPI"	2025-07-02	6.37	85.7142857142857
0	"TNX.MI"	"TENAX INTERNATIONAL"	2025-07-01	1.11	57.1428571428571
1	"PHIL.MI"	"PHILOGEN"	2025-06-24	15.65	64.2857142857143
