volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
389611	0.42	0.39	0.4	0.42	0.37	CIR.MI	0.44	0.46	0.43	0.46			0.0	1.0	1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
819768	0.43	0.4	0.4	0.43	0.38	CIR.MI	0.45	0.48	0.45	0.48			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
791355	0.43	0.41	0.42	0.41	0.37	CIR.MI	0.47	0.48	0.46	0.47			0.0	1.0	1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
377944	0.43	0.41	0.41	0.43	0.38	CIR.MI	0.47	0.49	0.47	0.49			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
76617	0.43	0.42	0.43	0.42	0.38	CIR.MI	0.49	0.49	0.48	0.48			0.0	1.0	1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
181871	0.44	0.42	0.42	0.43	0.38	CIR.MI	0.48	0.49	0.47	0.48			0.0	1.0	1.0	1							0.44																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
163812	0.43	0.42	0.43	0.43	0.38	CIR.MI	0.49	0.49	0.48	0.49			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
172614	0.43	0.42	0.42	0.42	0.37	CIR.MI	0.5	0.5	0.48	0.49			0.0	1.0	1.0	1																	0.5											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
332417	0.43	0.41	0.41	0.41	0.37	CIR.MI	0.48	0.5	0.48	0.48			0.0	1.0	1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
34491	0.41	0.4	0.4	0.4	0.35	CIR.MI	0.48	0.49	0.48	0.48			0.0	1.0	1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
172954	0.41	0.39	0.4	0.4	0.35	CIR.MI	0.49	0.49	0.46	0.48			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
53474	0.4	0.38	0.39	0.39	0.35	CIR.MI	0.48	0.49	0.47	0.48			0.0	1.0	1.0	1								0.38																				-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
491294	0.41	0.38	0.39	0.4	0.36	CIR.MI	0.47	0.49	0.46	0.47			0.0	1.0	1.0	1																		0.46	0.49									0.0	0.0	0.0	0.0	0.0	0.0		0.0
768029	0.41	0.4	0.4	0.4	0.36	CIR.MI	0.47	0.48	0.47	0.47			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
267996	0.42	0.4	0.41	0.4	0.36	CIR.MI	0.49	0.5	0.47	0.47			0.0	1.0	1.0	1							0.42										0.5											0.0	0.0	0.0	0.0	0.0	0.0		0.0
393696	0.41	0.4	0.41	0.4	0.36	CIR.MI	0.47	0.47	0.46	0.46			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
623896	0.41	0.39	0.4	0.4	0.35	CIR.MI	0.45	0.47	0.44	0.45			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
102240	0.4	0.4	0.4	0.4	0.35	CIR.MI	0.45	0.45	0.45	0.45			0.0	1.0	1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
330426	0.4	0.39	0.39	0.39	0.35	CIR.MI	0.44	0.45	0.44	0.44			0.0	1.0	1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
402900	0.41	0.39	0.4	0.39	0.34	CIR.MI	0.45	0.46	0.43	0.43			0.0	1.0	1.0	1								0.39																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
206044	0.4	0.39	0.4	0.4	0.35	CIR.MI	0.44	0.44	0.43	0.44			0.0	1.0	-1.0	1																		0.43		0.43								0.0	0.0	0.0	0.0	0.0	0.0		0.0
145425	0.4	0.39	0.4	0.4	0.36	CIR.MI	0.44	0.45	0.44	0.44			0.0	1.0	-1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
82793	0.4	0.39	0.39	0.4	0.35	CIR.MI	0.44	0.45	0.44	0.44			0.0	1.0	-1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
465916	0.4	0.39	0.39	0.4	0.36	CIR.MI	0.44	0.45	0.44	0.45			0.0	1.0	-1.0	1																	0.45											0.0	0.0	0.0	0.0	0.0	0.0		0.0
732739	0.41	0.4	0.4	0.41	0.36	CIR.MI	0.45	0.45	0.44	0.45			0.0	1.0	-1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
556716	0.41	0.4	0.4	0.4	0.36	CIR.MI	0.45	0.45	0.44	0.44			0.0	1.0	-1.0	1																		0.44										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
687485	0.41	0.39	0.39	0.41	0.37	CIR.MI	0.43	0.45	0.43	0.45			0.0	1.0	-1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
853215	0.44	0.4	0.41	0.43	0.38	CIR.MI	0.45	0.49	0.45	0.47			0.0	1.0	-1.0	1							0.44		0.44																			0.0	0.0	0.0	0.0	0.0	0.0		0.0
340192	0.44	0.4	0.41	0.43	0.4	CIR.MI	0.46	0.49	0.45	0.48			0.0	1.0	-1.0	1																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
