volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
10980051	0.75	0.74	0.74	0.75	0.51	RCS.MI	0.84	0.86	0.84	0.86	0.87	0.47	0.0	1.0	1.0	1	1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
3693755	0.77	0.75	0.75	0.77	0.52	RCS.MI	0.86	0.88	0.85	0.87	0.88	0.47	1.0	1.0	1.0	1	1.0			1.0			0.77											0.88													0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0
4936645	0.77	0.74	0.77	0.75	0.51	RCS.MI	0.87	0.88	0.84	0.85	0.88	0.47	1.0	1.0	1.0	1	1.0			1.0															0.84												-0.020000000000000018	-0.020000000000000018	-0.020000000000000018	-0.025974025974025983	-0.026317308317373417	-0.025974025974025983	0.57	-0.020000000000000018
6287582	0.76	0.74	0.75	0.76	0.51	RCS.MI	0.86	0.88	0.85	0.88	0.88	0.47	1.0	1.0	1.0	1	1.0			1.0				0.74																							0.010000000000000009	0.010000000000000009	-0.010000000000000009	0.01333333333333342	0.013245226750020723	-0.01298701298701288	0.57	-0.010000000000000009
8668559	0.77	0.75	0.76	0.76	0.52	RCS.MI	0.88	0.9	0.87	0.89	0.9	0.47	1.0	1.0	1.0	1	1.0			1.0																											0.0	0.0	-0.010000000000000009	0.0	0.0	-0.01298701298701288	0.57	-0.010000000000000009
6658182	0.79	0.77	0.77	0.79	0.53	RCS.MI	0.9	0.93	0.9	0.92	0.93	0.47	1.0	1.0	1.0	1	1.0			1.0			0.79		0.79									0.93													0.030000000000000027	0.030000000000000027	0.020000000000000018	0.03947368421052633	0.03871451218069043	0.025974025974025983	0.57	0.020000000000000018
3249545	0.79	0.77	0.79	0.77	0.52	RCS.MI	0.93	0.94	0.91	0.91	0.94	0.47	1.0	1.0	1.0	1	1.0			1.0																											-0.020000000000000018	-0.020000000000000018	0.0	-0.025316455696202556	-0.02564243061333767	0.0	0.57	0.0
3544053	0.78	0.73	0.77	0.75	0.51	RCS.MI	0.91	0.92	0.86	0.88	0.94	0.47	1.0	1.0	1.0	1	1.0			1.0				0.73																							-0.020000000000000018	-0.020000000000000018	-0.020000000000000018	-0.025974025974025983	-0.026317308317373417	-0.02597402597402587	0.57	-0.020000000000000018
1440732	0.76	0.75	0.75	0.75	0.51	RCS.MI	0.87	0.88	0.86	0.87	0.94	0.47	1.0	1.0	1.0	1	1.0			1.0															0.86												0.0	0.0	-0.020000000000000018	0.0	0.0	-0.02597402597402587	0.57	-0.020000000000000018
1934958	0.77	0.75	0.75	0.77	0.52	RCS.MI	0.87	0.89	0.86	0.89	0.94	0.47	1.0	1.0	1.0	1	1.0			1.0																											0.020000000000000018	0.020000000000000018	0.0	0.026666666666666616	0.026317308317373358	0.0	0.58	0.0
2617023	0.78	0.76	0.77	0.78	0.53	RCS.MI	0.9	0.91	0.89	0.91	0.94	0.47	1.0	1.0	1.0	1	1.0			1.0																											0.010000000000000009	0.010000000000000009	0.010000000000000009	0.012987012987013102	0.012903404835908001	0.012987012987013102	0.58	0.010000000000000009
4679301	0.79	0.77	0.78	0.77	0.52	RCS.MI	0.94	0.95	0.93	0.94	0.95	0.47	1.0	1.0	1.0	1	1.0			1.0			0.79																								-0.010000000000000009	-0.010000000000000009	0.0	-0.012820512820512886	-0.012903404835907954	0.0	0.69	0.0
