volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
113860128	0.88	0.86	0.87	0.86	0.82	TIT.MI	1.05	1.07	1.04	1.04			0.0		-1.0	0																				1.07											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
89946341	0.87	0.84	0.87	0.86	0.82	TIT.MI	1.04	1.05	1.01	1.03			0.0		-1.0	0																					1.01										0.0	0.0	0.0	0.0	0.0	0.0		0.0
80546199	0.87	0.83	0.85	0.84	0.8	TIT.MI	1.05	1.07	1.02	1.03			0.0		-1.0	0								0.83		0.83										1.07											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
109715097	0.89	0.85	0.85	0.89	0.85	TIT.MI	1.01	1.05	1.0	1.05			0.0		-1.0	0																					1.0										0.0	0.0	0.0	0.0	0.0	0.0		0.0
77698772	0.9	0.87	0.88	0.9	0.86	TIT.MI	1.03	1.05	1.02	1.05			0.0		-1.0	0							0.9													1.05											0.0	0.0	0.0	0.0	0.0	0.0		0.0
139237046	0.9	0.84	0.89	0.86	0.81	TIT.MI	1.06	1.07	1.0	1.02			0.0		-1.0	0								0.84																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
107882672	0.9	0.86	0.87	0.88	0.84	TIT.MI	0.99	1.02	0.99	1.01			0.0		-1.0	0																					0.99										0.0	0.0	0.0	0.0	0.0	0.0		0.0
82931029	0.91	0.88	0.89	0.9	0.85	TIT.MI	1.0	1.03	0.99	1.02			0.0		-1.0	0							0.91																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
61484795	0.9	0.89	0.89	0.89	0.85	TIT.MI	1.02	1.03	1.01	1.02			0.0		-1.0	0																				1.03											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
60650489	0.89	0.87	0.88	0.88	0.84	TIT.MI	0.99	1.01	0.99	0.99			0.0		-1.0	0								0.87													0.99										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
