volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
55974	18.5	17.97	18.15	18.5	14.15	MARR.MI	22.0	22.42	21.78	22.42			0.0	1.0	1.0	1							18.5												22.42													0.0	0.0	0.0	0.0	0.0	0.0		0.0
52784	18.65	18.15	18.5	18.15	13.88	MARR.MI	22.25	22.43	21.83	21.83			0.0	1.0	1.0	1																				21.83												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
40606	18.52	18.04	18.37	18.3	14.0	MARR.MI	22.65	22.83	22.24	22.56			0.0	1.0	1.0	1								18.04											22.83		22.83											0.0	0.0	0.0	0.0	0.0	0.0		0.0
57376	18.5	18.09	18.11	18.4	14.07	MARR.MI	21.45	21.91	21.43	21.79			0.0	1.0	1.0	1																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
63982	18.59	18.26	18.38	18.3	14.0	MARR.MI	21.5	21.75	21.36	21.41			0.0	1.0	1.0	1																				21.36												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
104098	19.02	18.3	18.5	19.02	14.55	MARR.MI	21.99	22.61	21.75	22.61			0.0	1.0	1.0	1																			22.61													0.0	0.0	0.0	0.0	0.0	0.0		0.0
55142	19.06	18.6	19.02	18.72	14.32	MARR.MI	21.71	21.75	21.23	21.37			0.0	1.0	1.0	1							19.06		19.06		19.06																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
48608	18.95	18.36	18.95	18.4	14.07	MARR.MI	21.44	21.44	20.77	20.81			0.0	1.0	1.0	1																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
92998	18.61	17.83	18.61	18.26	13.97	MARR.MI	21.13	21.13	20.25	20.74			0.0	1.0	1.0	1								17.83												20.25												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
35554	18.52	18.12	18.32	18.52	14.17	MARR.MI	20.69	20.92	20.47	20.92			0.0	1.0	1.0	1							18.52												20.92													0.0	0.0	0.0	0.0	0.0	0.0		0.0
43027	18.52	18.05	18.52	18.15	13.88	MARR.MI	20.81	20.81	20.29	20.4			0.0	1.0	1.0	1																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14197	18.29	18.15	18.2	18.15	13.88	MARR.MI	20.23	20.33	20.17	20.17			0.0	1.0	1.0	1																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
41661	18.25	17.97	18.13	18.04	13.8	MARR.MI	20.07	20.2	19.89	19.97			0.0	1.0	1.0	1																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
29043	18.15	17.9	18.0	17.9	13.69	MARR.MI	19.97	20.14	19.86	19.86			0.0	1.0	1.0	1																				19.86												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16333	18.08	17.77	18.0	17.8	13.62	MARR.MI	20.28	20.37	20.02	20.05			0.0	1.0	1.0	1																			20.37													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
27521	18.02	17.75	18.02	17.75	13.58	MARR.MI	20.01	20.01	19.71	19.71			0.0	1.0	1.0	1								17.75												19.71												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
25215	18.22	17.66	17.95	18.12	13.86	MARR.MI	19.85	20.15	19.53	20.04			0.0	1.0	-1.0	1																			20.15													0.0	0.0	0.0	0.0	0.0	0.0		0.0
19684	18.18	17.76	18.0	18.18	13.91	MARR.MI	19.67	19.86	19.4	19.86			0.0	1.0	-1.0	1							18.18													19.4		19.4										0.0	0.0	0.0	0.0	0.0	0.0		0.0
52561	18.18	17.7	18.15	17.77	13.59	MARR.MI	20.23	20.26	19.73	19.81			0.0	1.0	-1.0	1								17.7		17.7																						-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
45420	18.43	17.75	18.0	18.43	14.1	MARR.MI	20.26	20.75	19.98	20.75			0.0	1.0	-1.0	1							18.43		18.43																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
28347	18.35	17.99	18.35	18.23	13.94	MARR.MI	21.18	21.18	20.76	21.04			0.0	1.0	-1.0	1																			21.18													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
47809	18.25	17.75	18.16	17.82	13.63	MARR.MI	20.99	21.1	20.52	20.6			0.0	1.0	-1.0	1																				20.52												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12255	18.1	17.8	17.9	17.89	13.68	MARR.MI	20.71	20.94	20.59	20.69			0.0	1.0	-1.0	1																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
22119	18.05	17.8	17.92	17.91	13.7	MARR.MI	20.82	20.97	20.68	20.81			0.0	1.0	-1.0	1								17.8																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
12741	18.19	17.82	18.19	18.07	13.82	MARR.MI	21.32	21.32	20.89	21.18			0.0	1.0	-1.0	1							18.19												21.32													0.0	0.0	0.0	0.0	0.0	0.0		0.0
22717	18.2	17.9	18.11	18.0	13.77	MARR.MI	20.94	21.04	20.69	20.81			0.0	1.0	-1.0	1																				20.69												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15975	18.03	17.82	18.0	18.03	13.79	MARR.MI	21.09	21.12	20.88	21.12			0.0	1.0	-1.0	1																			21.12													0.0	0.0	0.0	0.0	0.0	0.0		0.0
29863	18.1	17.57	18.1	17.57	13.44	MARR.MI	21.26	21.26	20.64	20.64			0.0	1.0	-1.0	0								17.57																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
77237	17.94	17.63	17.82	17.75	13.58	MARR.MI	20.84	20.98	20.62	20.76			0.0	1.0	-1.0	0																				20.62												0.0	0.0	0.0	0.0	0.0	0.0		0.0
17043	18.12	17.73	18.01	17.87	13.67	MARR.MI	21.05	21.18	20.73	20.89			0.0	1.0	-1.0	0							18.12																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
29524	18.13	17.65	18.0	17.67	13.52	MARR.MI	21.33	21.48	20.91	20.94			0.0	1.0	1.0	0																			21.48		21.48											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
71124	17.92	17.71	17.71	17.81	13.62	MARR.MI	20.73	20.98	20.73	20.85			0.0	1.0	1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
41934	17.85	17.34	17.81	17.53	13.41	MARR.MI	21.05	21.09	20.49	20.72			0.0	1.0	1.0	0								17.34																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
115247	17.91	17.52	17.91	17.69	13.53	MARR.MI	20.85	20.85	20.39	20.59			0.0	1.0	1.0	0							17.91													20.39												0.0	0.0	0.0	0.0	0.0	0.0		0.0
40293	17.6	17.06	17.38	17.4	13.83	MARR.MI	20.8	21.06	20.42	20.82			0.0	1.0	1.0	0								17.06		17.06									21.06													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
72575	17.54	17.19	17.5	17.39	13.82	MARR.MI	20.27	20.31	19.91	20.14	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
49040	17.88	17.29	17.34	17.71	14.07	MARR.MI	19.75	20.37	19.7	20.17	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																19.7		19.7										0.0	0.0	0.0	0.0	0.0	0.0		0.0
12477	17.87	17.61	17.65	17.7	14.06	MARR.MI	20.09	20.34	20.04	20.15	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
28682	18.1	17.65	17.65	17.94	14.25	MARR.MI	20.12	20.64	20.12	20.45	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
40938	18.15	17.95	18.1	18.01	14.31	MARR.MI	20.52	20.57	20.35	20.42	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0			18.15																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
54292	18.23	17.78	18.14	17.78	14.13	MARR.MI	20.87	20.97	20.45	20.45	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
52484	18.04	17.72	17.99	17.72	14.08	MARR.MI	20.94	21.0	20.63	20.63	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0				17.72																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
222043	18.0	17.65	17.69	18.0	14.3	MARR.MI	20.64	21.01	20.6	21.01	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
62914	18.2	17.78	18.1	17.86	14.19	MARR.MI	21.45	21.57	21.07	21.17	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0			18.2		18.2										21.57													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
31786	18.0	17.7	17.86	17.86	14.19	MARR.MI	21.01	21.18	20.82	21.01	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0				17.7																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
