volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
0	0.31	0.31	0.31	0.31	0.17	CNF.MI	0.37	0.37	0.37	0.37			0.0	1.0	1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
6470	0.31	0.3	0.31	0.31	0.17	CNF.MI	0.36	0.36	0.36	0.36			0.0	1.0	1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1102	0.31	0.29	0.29	0.3	0.17	CNF.MI	0.35	0.36	0.35	0.36			0.0	1.0	1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
102527	0.3	0.29	0.3	0.29	0.16	CNF.MI	0.35	0.35	0.33	0.33			0.0	1.0	-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23363	0.3	0.28	0.29	0.28	0.16	CNF.MI	0.33	0.33	0.31	0.32			0.0	1.0	-1.0	0								0.28		0.28											0.31										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33208	0.29	0.28	0.28	0.29	0.17	CNF.MI	0.32	0.33	0.32	0.33			0.0	1.0	-1.0	0																				0.33			0.32								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1998	0.29	0.28	0.28	0.29	0.16	CNF.MI	0.32	0.33	0.32	0.33			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
16388	0.29	0.28	0.28	0.29	0.16	CNF.MI	0.32	0.33	0.31	0.33			0.0	1.0	-1.0	0																					0.31										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.32	0.32	0.32	0.32			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
3102	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.33	0.33	0.32	0.33			0.0	1.0	-1.0	0																				0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
10335	0.29	0.28	0.29	0.28	0.16	CNF.MI	0.32	0.33	0.31	0.31			0.0	1.0	-1.0	0							0.29																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8998	0.29	0.28	0.29	0.28	0.16	CNF.MI	0.33	0.33	0.32	0.32			0.0	1.0	-1.0	0																					0.32										0.0	0.0	0.0	0.0	0.0	0.0		0.0
15097	0.29	0.28	0.28	0.29	0.16	CNF.MI	0.31	0.32	0.31	0.32			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.33	0.33	0.33	0.33			0.0	1.0	-1.0	0																				0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
5554	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.32	0.32	0.32	0.32			0.0	1.0	-1.0	0																					0.32										0.0	0.0	0.0	0.0	0.0	0.0		0.0
13281	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.33	0.33	0.32	0.33			0.0	1.0	-1.0	0																				0.33											0.0	0.0	0.0	0.0	0.0	0.0		0.0
86418	0.29	0.28	0.29	0.28	0.16	CNF.MI	0.32	0.32	0.32	0.32			0.0	1.0	-1.0	0																					0.32										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
40765	0.28	0.28	0.28	0.28	0.16	CNF.MI	0.33	0.33	0.33	0.33			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
250	0.28	0.28	0.28	0.28	0.16	CNF.MI	0.33	0.33	0.33	0.33			0.0	1.0	-1.0	0								0.28																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	0.28	0.28	0.28	0.28	0.16	CNF.MI	0.33	0.33	0.33	0.33			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
18440	0.29	0.28	0.28	0.29	0.16	CNF.MI	0.33	0.34	0.33	0.34			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
2500	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.34	0.34	0.34	0.34			0.0	1.0	-1.0	0							0.29													0.34		0.34									0.0	0.0	0.0	0.0	0.0	0.0		0.0
6270	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.33	0.34	0.33	0.34			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
2417	0.29	0.29	0.29	0.29	0.16	CNF.MI	0.34	0.34	0.33	0.33			0.0	1.0	-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
62941	0.28	0.27	0.27	0.27	0.15	CNF.MI	0.32	0.33	0.32	0.32			0.0	1.0	-1.0	-1																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
131419	0.27	0.25	0.27	0.25	0.14	CNF.MI	0.32	0.32	0.3	0.3			0.0	-1.0	-1.0	-1								0.25																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
183	0.26	0.26	0.26	0.26	0.15	CNF.MI	0.3	0.31	0.3	0.31			0.0	-1.0	-1.0	-1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
8887	0.27	0.27	0.27	0.27	0.15	CNF.MI	0.32	0.32	0.31	0.31			0.0	-1.0	-1.0	-1							0.27																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
14624	0.26	0.25	0.26	0.26	0.15	CNF.MI	0.3	0.31	0.29	0.3			0.0	-1.0	-1.0	-1																					0.29										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
250	0.26	0.26	0.26	0.26	0.15	CNF.MI	0.31	0.31	0.31	0.31			0.0	-1.0	-1.0	-1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
3480	0.26	0.26	0.26	0.26	0.15	CNF.MI	0.3	0.31	0.3	0.31			0.0	-1.0	-1.0	-1																				0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2987	0.26	0.26	0.26	0.26	0.15	CNF.MI	0.31	0.31	0.31	0.31			0.0	-1.0	-1.0	-1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
17940	0.26	0.24	0.26	0.25	0.14	CNF.MI	0.3	0.3	0.28	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	1.0			1.0				0.24													0.28		0.28								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3625	0.26	0.25	0.25	0.26	0.14	CNF.MI	0.29	0.29	0.29	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
617	0.27	0.26	0.27	0.26	0.15	CNF.MI	0.31	0.31	0.3	0.3	0.39	0.24	0.0	-1.0	-1.0	-1	1.0			1.0																0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
4605	0.26	0.26	0.26	0.26	0.14	CNF.MI	0.29	0.29	0.29	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	1.0			1.0																	0.29										0.0	0.0	0.0	0.0	0.0	0.0		0.0
16854	0.26	0.26	0.26	0.26	0.14	CNF.MI	0.29	0.29	0.29	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
42639	0.27	0.26	0.26	0.27	0.15	CNF.MI	0.3	0.31	0.3	0.31	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
5052	0.26	0.25	0.26	0.26	0.15	CNF.MI	0.3	0.3	0.29	0.3	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0			0.26														0.29										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
202	0.26	0.25	0.25	0.26	0.15	CNF.MI	0.3	0.31	0.3	0.31	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
11001	0.26	0.26	0.26	0.26	0.15	CNF.MI	0.31	0.31	0.31	0.31	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.26	0.26	0.26	0.26	0.15	CNF.MI	0.31	0.31	0.31	0.31	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
6835	0.26	0.25	0.25	0.26	0.15	CNF.MI	0.28	0.3	0.28	0.3	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																	0.28										0.0	0.0	0.0	0.0	0.0	0.0		0.0
202	0.26	0.25	0.25	0.26	0.15	CNF.MI	0.29	0.3	0.29	0.3	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
8602	0.26	0.25	0.25	0.26	0.15	CNF.MI	0.29	0.3	0.29	0.3	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
39879	0.25	0.24	0.25	0.25	0.14	CNF.MI	0.3	0.3	0.29	0.3	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
990	0.25	0.25	0.25	0.25	0.14	CNF.MI	0.31	0.31	0.31	0.31	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.25	0.25	0.25	0.25	0.14	CNF.MI	0.32	0.32	0.32	0.32	0.39	0.24	0.0	-1.0	1.0	-1	-1.0			1.0																0.32											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.25	0.25	0.25	0.25	0.14	CNF.MI	0.31	0.31	0.31	0.31	0.39	0.24	0.0	-1.0	1.0	-1	-1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
16336	0.25	0.24	0.25	0.24	0.13	CNF.MI	0.31	0.31	0.3	0.3	0.39	0.24	0.0	-1.0	1.0	-1	-1.0			1.0				0.24																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
124	0.25	0.25	0.25	0.25	0.14	CNF.MI	0.3	0.3	0.3	0.3	0.39	0.24	0.0	-1.0	1.0	-1	-1.0			1.0			0.25																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
54812	0.25	0.24	0.25	0.25	0.14	CNF.MI	0.3	0.3	0.29	0.3	0.39	0.24	0.0	-1.0	1.0	-1	-1.0			-1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
32920	0.25	0.24	0.24	0.25	0.14	CNF.MI	0.28	0.29	0.28	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0				0.24													0.28										0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.25	0.25	0.25	0.25	0.14	CNF.MI	0.31	0.31	0.31	0.31	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0			0.25													0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
7759	0.25	0.24	0.24	0.25	0.14	CNF.MI	0.28	0.29	0.28	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0																	0.28										0.0	0.0	0.0	0.0	0.0	0.0		0.0
53590	0.22	0.22	0.22	0.22	0.12	CNF.MI	0.29	0.29	0.29	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0				0.22																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
87773	0.25	0.21	0.24	0.22	0.12	CNF.MI	0.33	0.35	0.29	0.3	0.39	0.24	0.0	1.0	1.0	-1	-1.0			-1.0																0.35		0.35									0.0	0.0	0.0	0.0	0.0	0.0		0.0
41468	0.24	0.22	0.22	0.22	0.13	CNF.MI	0.29	0.32	0.29	0.3	0.39	0.24	0.0	1.0	1.0	-1	-1.0			-1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1001	0.23	0.22	0.22	0.23	0.13	CNF.MI	0.29	0.3	0.29	0.3	0.39	0.24	0.0	1.0	1.0	-1	-1.0			-1.0			0.23																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
6020	0.24	0.22	0.22	0.23	0.13	CNF.MI	0.28	0.3	0.28	0.3	0.39	0.24	0.0	1.0	1.0	-1	-1.0			-1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
5765	0.23	0.22	0.22	0.22	0.13	CNF.MI	0.29	0.3	0.28	0.29	0.39	0.24	0.0	1.0	1.0	-1	-1.0			-1.0																											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13200	0.22	0.21	0.22	0.22	0.12	CNF.MI	0.29	0.29	0.28	0.28	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0																	0.28										0.0	0.0	0.0	0.0	0.0	0.0		0.0
28817	0.22	0.21	0.21	0.22	0.12	CNF.MI	0.28	0.29	0.28	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0																0.29											0.0	0.0	0.0	0.0	0.0	0.0		0.0
6397	0.22	0.21	0.21	0.22	0.12	CNF.MI	0.28	0.3	0.28	0.29	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
5700	0.2	0.2	0.2	0.2	0.11	CNF.MI	0.27	0.27	0.27	0.27	0.39	0.24	0.0	-1.0	-1.0	-1	-1.0			-1.0				0.2		0.2		0.2					0.2				0.27										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
19426	0.22	0.21	0.21	0.22	0.12	CNF.MI	0.27	0.28	0.27	0.28	0.39	0.25	0.0	-1.0	-1.0	-1	-1.0			-1.0																0.28											0.0	0.0	0.0	0.0	0.0	0.0		0.0
14234	0.23	0.21	0.23	0.22	0.12	CNF.MI	0.29	0.29	0.27	0.27	0.39	0.25	0.0	-1.0	-1.0	-1	-1.0			-1.0			0.23																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
