date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2020-02-14 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	462.76	462.76	462.76	462.76	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0	462.76								-1.0			623.81
2020-02-17 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	458.08	458.08	458.08	458.08	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			623.81
2020-02-18 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	456.21	456.21	456.21	456.21	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			623.81
2020-02-19 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	451.66	451.66	451.66	451.66	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0		451.66		451.66		451.66			-1.0			451.66
2020-02-20 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	458.83	458.83	458.83	458.83	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-02-21 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	464.51	464.51	464.51	464.51	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-02-24 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	491.2	491.2	491.2	491.2	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-02-25 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	498.37	498.37	498.37	498.37	539.95	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0	498.37								-1.0			451.66
2020-02-26 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	491.29	491.29	491.29	491.29	539.95	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0		491.29							-1.0			451.66
2020-02-27 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	504.73	504.73	504.73	504.73	504.73	423.38	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
